"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 27, 1983","124.66","124.66","124.66","124.66","-","0.31%"
"Jun 24, 1983","124.27","124.27","124.27","124.27","-","-0.02%"
"Jun 23, 1983","124.29","124.29","124.29","124.29","-","0.03%"
"Jun 22, 1983","124.25","124.25","124.25","124.25","-","-0.86%"
"Jun 21, 1983","125.33","125.33","125.33","125.33","-","0.12%"
"Jun 20, 1983","125.18","125.18","125.18","125.18","-","-0.38%"
"Jun 17, 1983","125.66","125.66","125.66","125.66","-","0.04%"
"Jun 16, 1983","125.61","125.61","125.61","125.61","-","-0.48%"
"Jun 15, 1983","126.21","126.21","126.21","126.21","-","0.03%"
"Jun 14, 1983","126.17","126.17","126.17","126.17","-","0.53%"
"Jun 13, 1983","125.50","125.50","125.50","125.50","-","0.09%"
"Jun 10, 1983","125.39","125.39","125.39","125.39","-","-0.16%"
"Jun 09, 1983","125.59","125.59","125.59","125.59","-","-0.07%"
"Jun 08, 1983","125.68","125.68","125.68","125.68","-","0.10%"
"Jun 07, 1983","125.56","125.56","125.56","125.56","-","0.18%"
"Jun 06, 1983","125.33","125.33","125.33","125.33","-","0.46%"
"Jun 03, 1983","124.75","124.75","124.75","124.75","-","0.25%"
"Jun 02, 1983","124.44","124.44","124.44","124.44","-","-0.19%"
"Jun 01, 1983","124.68","124.68","124.68","124.68","-","0.72%"
"May 31, 1983","123.79","123.79","123.79","123.79","-","0.31%"
"May 27, 1983","123.41","123.41","123.41","123.41","-","0.53%"
"May 26, 1983","122.76","122.76","122.76","122.76","-","0.04%"
"May 25, 1983","122.71","122.71","122.71","122.71","-","-0.27%"
"May 24, 1983","123.04","123.04","123.04","123.04","-","0.15%"
"May 23, 1983","122.86","122.86","122.86","122.86","-","0.29%"
"May 20, 1983","122.50","122.50","122.50","122.50","-","-0.08%"
"May 19, 1983","122.60","122.60","122.60","122.60","-","0.57%"
"May 18, 1983","121.91","121.91","121.91","121.91","-","-0.05%"
"May 17, 1983","121.97","121.97","121.97","121.97","-","0.02%"
"May 16, 1983","121.94","121.94","121.94","121.94","-","0.65%"
"May 13, 1983","121.15","121.15","121.15","121.15","-","0.09%"
"May 12, 1983","121.04","121.04","121.04","121.04","-","0.12%"
"May 11, 1983","120.90","120.90","120.90","120.90","-","-0.35%"
"May 10, 1983","121.32","121.32","121.32","121.32","-","0.21%"
"May 09, 1983","121.07","121.07","121.07","121.07","-","-0.21%"
"May 06, 1983","121.32","121.32","121.32","121.32","-","-0.05%"
